Temperatura (°C),Cisnienie p (MPa),Gestosc ρ (kg/m³),Cieplo wlasciwe cp (kJ/(kg·K)),Przewodzenie ciepla λ·10^2 (W/(m·K)),Dyfuzyjnosc cieplna a·10^8 (m²/s),Lepkosc dynamiczna μ·10^6 (N·s/m²),Lepkosc kinematyczna ν·10^6 (m²/s),Rozszerzalnosc β·10^4 (1/K),Napiecie powierzchniowe σ·10^4 (N/m),Liczba Prandtla Pr (-)
1.13,0.0006795095095,999.8775776,4.209645646,55.35785786,13.16726727,1733.961962,1.73484985,-0.4808908909,754.7407407,13.20473473
1.14,0.0006801301301,999.8773774,4.209624625,55.36016016,13.16786787,1733.479479,1.734366366,-0.4795595596,754.7259259,13.20058058
1.15,0.0006807507508,999.8771772,4.209603604,55.36246246,13.16846847,1732.996997,1.733882883,-0.4782282282,754.7111111,13.19642643
1.16,0.0006813713714,999.876977,4.209582583,55.36476476,13.16906907,1732.514515,1.733399399,-0.4768968969,754.6962963,13.19227227
1.17,0.000681991992,999.8767768,4.209561562,55.36706707,13.16966967,1732.032032,1.732915916,-0.4755655656,754.6814815,13.18811812
1.18,0.0006826126126,999.8765766,4.209540541,55.36936937,13.17027027,1731.54955,1.732432432,-0.4742342342,754.6666667,13.18396396
1.19,0.0006832332332,999.8763764,4.20951952,55.37167167,13.17087087,1731.067067,1.731948949,-0.4729029029,754.6518519,13.17980981
1.2,0.0006838538539,999.8761762,4.209498498,55.37397397,13.17147147,1730.584585,1.731465465,-0.4715715716,754.637037,13.17565566
1.21,0.0006844744745,999.875976,4.209477477,55.37627628,13.17207207,1730.102102,1.730981982,-0.4702402402,754.6222222,13.1715015
1.22,0.0006850950951,999.8757758,4.209456456,55.37857858,13.17267267,1729.61962,1.730498498,-0.4689089089,754.6074074,13.16734735
1.23,0.0006857157157,999.8755756,4.209435435,55.38088088,13.17327327,1729.137137,1.730015015,-0.4675775776,754.5925926,13.16319319
1.24,0.0006863363363,999.8753754,4.209414414,55.38318318,13.17387387,1728.654655,1.729531532,-0.4662462462,754.5777778,13.15903904
1.25,0.000686956957,999.8751752,4.209393393,55.38548549,13.17447447,1728.172172,1.729048048,-0.4649149149,754.562963,13.15488488
1.26,0.0006875775776,999.874975,4.209372372,55.38778779,13.17507508,1727.68969,1.728564565,-0.4635835836,754.5481481,13.15073073
1.27,0.0006881981982,999.8747748,4.209351351,55.39009009,13.17567568,1727.207207,1.728081081,-0.4622522523,754.5333333,13.14657658
1.28,0.0006888188188,999.8745746,4.20933033,55.39239239,13.17627628,1726.724725,1.727597598,-0.4609209209,754.5185185,13.14242242
1.29,0.0006894394394,999.8743744,4.209309309,55.39469469,13.17687688,1726.242242,1.727114114,-0.4595895896,754.5037037,13.13826827
1.3,0.0006900600601,999.8741742,4.209288288,55.396997,13.17747748,1725.75976,1.726630631,-0.4582582583,754.4888889,13.13411411
1.31,0.0006906806807,999.873974,4.209267267,55.3992993,13.17807808,1725.277277,1.726147147,-0.4569269269,754.4740741,13.12995996
1.32,0.0006913013013,999.8737738,4.209246246,55.4016016,13.17867868,1724.794795,1.725663664,-0.4555955956,754.4592593,13.12580581
1.33,0.0006919219219,999.8735736,4.209225225,55.4039039,13.17927928,1724.312312,1.72518018,-0.4542642643,754.4444444,13.12165165
1.34,0.0006925425425,999.8733734,4.209204204,55.40620621,13.17987988,1723.82983,1.724696697,-0.4529329329,754.4296296,13.1174975
1.35,0.0006931631632,999.8731732,4.209183183,55.40850851,13.18048048,1723.347347,1.724213213,-0.4516016016,754.4148148,13.11334334
1.36,0.0006937837838,999.872973,4.209162162,55.41081081,13.18108108,1722.864865,1.72372973,-0.4502702703,754.4,13.10918919
1.37,0.0006944044044,999.8727728,4.209141141,55.41311311,13.18168168,1722.382382,1.723246246,-0.4489389389,754.3851852,13.10503504
1.38,0.000695025025,999.8725726,4.20912012,55.41541542,13.18228228,1721.8999,1.722762763,-0.4476076076,754.3703704,13.10088088
1.39,0.0006956456456,999.8723724,4.209099099,55.41771772,13.18288288,1721.417417,1.722279279,-0.4462762763,754.3555556,13.09672673
1.4,0.0006962662663,999.8721722,4.209078078,55.42002002,13.18348348,1720.934935,1.721795796,-0.4449449449,754.3407407,13.09257257
1.41,0.0006968868869,999.871972,4.209057057,55.42232232,13.18408408,1720.452452,1.721312312,-0.4436136136,754.3259259,13.08841842
1.42,0.0006975075075,999.8717718,4.209036036,55.42462462,13.18468468,1719.96997,1.720828829,-0.4422822823,754.3111111,13.08426426
1.43,0.0006981281281,999.8715716,4.209015015,55.42692693,13.18528529,1719.487487,1.720345345,-0.440950951,754.2962963,13.08011011
1.44,0.0006987487487,999.8713714,4.208993994,55.42922923,13.18588589,1719.005005,1.719861862,-0.4396196196,754.2814815,13.07595596
1.45,0.0006993693694,999.8711712,4.208972973,55.43153153,13.18648649,1718.522523,1.719378378,-0.4382882883,754.2666667,13.0718018
1.46,0.00069998999,999.870971,4.208951952,55.43383383,13.18708709,1718.04004,1.718894895,-0.436956957,754.2518519,13.06764765
1.47,0.0007006106106,999.8707708,4.208930931,55.43613614,13.18768769,1717.557558,1.718411411,-0.4356256256,754.237037,13.06349349
1.48,0.0007012312312,999.8705706,4.20890991,55.43843844,13.18828829,1717.075075,1.717927928,-0.4342942943,754.2222222,13.05933934
1.49,0.0007018518519,999.8703704,4.208888889,55.44074074,13.18888889,1716.592593,1.717444444,-0.432962963,754.2074074,13.05518519
1.5,0.0007024724725,999.8701702,4.208867868,55.44304304,13.18948949,1716.11011,1.716960961,-0.4316316316,754.1925926,13.05103103
1.51,0.0007030930931,999.86997,4.208846847,55.44534535,13.19009009,1715.627628,1.716477477,-0.4303003003,754.1777778,13.04687688
1.52,0.0007037137137,999.8697698,4.208825826,55.44764765,13.19069069,1715.145145,1.715993994,-0.428968969,754.162963,13.04272272
1.53,0.0007043343343,999.8695696,4.208804805,55.44994995,13.19129129,1714.662663,1.715510511,-0.4276376376,754.1481481,13.03856857
1.54,0.000704954955,999.8693694,4.208783784,55.45225225,13.19189189,1714.18018,1.715027027,-0.4263063063,754.1333333,13.03441441
1.55,0.0007055755756,999.8691692,4.208762763,55.45455455,13.19249249,1713.697698,1.714543544,-0.424974975,754.1185185,13.03026026
1.56,0.0007061961962,999.868969,4.208741742,55.45685686,13.19309309,1713.215215,1.71406006,-0.4236436436,754.1037037,13.02610611
1.57,0.0007068168168,999.8687688,4.208720721,55.45915916,13.19369369,1712.732733,1.713576577,-0.4223123123,754.0888889,13.02195195
1.58,0.0007074374374,999.8685686,4.2086997,55.46146146,13.19429429,1712.25025,1.713093093,-0.420980981,754.0740741,13.0177978
1.59,0.0007080580581,999.8683684,4.208678679,55.46376376,13.19489489,1711.767768,1.71260961,-0.4196496496,754.0592593,13.01364364
